"edad" "sexo" "mes" "periodo" "casos" "poblacion" "estacion"
"122" 3 "1" "4" "1998" 3 146241 "2"
"123" 2 "1" "6" "1998" 1 127061 "2"
"124" 3 "1" "12" "1998" 5 146241 "1"
"125" 2 "1" "12" "1998" 1 127061 "1"
"126" 1 "2" "1" "1998" 1 110234 "1"
"127" 2 "2" "11" "1998" 5 120569 "1"
"128" 3 "1" "11" "1998" 0 146241 "1"
"129" 3 "2" "9" "1998" 1 138487 "2"
"130" 3 "2" "7" "1998" 3 138487 "2"
"131" 1 "2" "8" "1998" 2 110234 "2"
"132" 1 "1" "12" "1998" 1 115882 "1"
"133" 3 "2" "12" "1998" 0 138487 "1"
"134" 3 "1" "3" "1998" 2 146241 "1"
"135" 1 "2" "10" "1998" 1 110234 "2"
"136" 3 "1" "7" "1998" 1 146241 "2"
"137" 2 "1" "3" "1998" 1 127061 "1"
"138" 2 "2" "12" "1998" 6 120569 "1"
"139" 2 "1" "10" "1998" 1 127061 "2"
"140" 2 "1" "4" "1998" 0 127061 "2"
"141" 2 "1" "11" "1998" 3 127061 "1"
"142" 1 "2" "3" "1998" 1 110234 "1"
"143" 2 "2" "4" "1998" 1 120569 "2"
"144" 3 "2" "4" "1998" 0 138487 "2"
"145" 2 "2" "9" "1999" 0 119194 "2"
"146" 3 "1" "10" "1999" 3 132716 "2"
"147" 2 "2" "7" "1999" 4 119194 "2"
"148" 3 "2" "6" "1999" 2 140553 "2"
"149" 2 "2" "1" "1999" 4 119194 "1"
"150" 1 "2" "2" "1999" 0 113985 "1"
"151" 3 "1" "9" "1999" 4 132716 "2"
"152" 3 "2" "4" "1999" 1 140553 "2"
"153" 2 "1" "7" "1999" 1 124982 "2"
"154" 1 "2" "9" "1999" 0 113985 "2"
"155" 2 "2" "6" "1999" 4 119194 "2"
"156" 1 "2" "1" "1999" 0 113985 "1"
"157" 2 "1" "6" "1999" 0 124982 "2"
"158" 1 "1" "4" "1999" 1 119634 "2"
"159" 1 "2" "6" "1999" 2 113985 "2"
"160" 3 "1" "11" "1999" 0 132716 "1"
"161" 1 "1" "9" "1999" 1 119634 "2"
"162" 2 "1" "1" "1999" 1 124982 "1"
"163" 2 "2" "4" "1999" 2 119194 "2"
"164" 1 "2" "10" "1999" 1 113985 "2"
"165" 3 "2" "1" "1999" 1 140553 "1"
"166" 3 "1" "7" "1999" 2 132716 "2"
"167" 3 "1" "8" "1999" 3 132716 "2"
"168" 3 "1" "5" "1999" 2 132716 "2"
"169" 1 "1" "3" "1999" 6 119634 "1"
"170" 1 "1" "1" "1999" 0 119634 "1"
"171" 2 "1" "11" "1999" 0 124982 "1"
"172" 3 "2" "2" "1999" 3 140553 "1"
"173" 3 "1" "2" "1999" 0 132716 "1"
"174" 1 "2" "12" "1999" 1 113985 "1"
"175" 1 "1" "2" "1999" 0 119634 "1"
"176" 1 "1" "8" "1999" 2 119634 "2"
"177" 1 "1" "5" "1999" 0 119634 "2"
"178" 1 "1" "11" "1999" 1 119634 "1"
"179" 3 "2" "11" "1999" 4 140553 "1"
"180" 1 "2" "8" "1999" 4 113985 "2"
"181" 2 "1" "8" "1999" 2 124982 "2"
"182" 3 "2" "12" "1999" 1 140553 "1"
"183" 2 "2" "3" "1999" 1 119194 "1"
"184" 1 "2" "7" "1999" 0 113985 "2"
"185" 2 "1" "9" "1999" 1 124982 "2"
"186" 2 "1" "3" "1999" 3 124982 "1"
"187" 2 "1" "10" "1999" 1 124982 "2"
"188" 1 "2" "4" "1999" 0 113985 "2"
"189" 3 "2" "10" "1999" 5 140553 "2"
"190" 2 "2" "8" "1999" 3 119194 "2"
"191" 1 "2" "5" "1999" 1 113985 "2"
"192" 2 "2" "11" "1999" 2 119194 "1"
"193" 2 "1" "4" "1999" 0 124982 "2"
"194" 2 "1" "5" "1999" 0 124982 "2"
"195" 2 "2" "2" "1999" 1 119194 "1"
"196" 2 "2" "12" "1999" 2 119194 "1"
"197" 2 "2" "10" "1999" 5 119194 "2"
"198" 3 "2" "8" "1999" 0 140553 "2"
"199" 1 "2" "11" "1999" 1 113985 "1"
"200" 3 "2" "9" "1999" 0 140553 "2"
"201" 1 "1" "7" "1999" 3 119634 "2"
"202" 3 "1" "3" "1999" 1 132716 "1"
"203" 1 "2" "3" "1999" 2 113985 "1"
"204" 3 "1" "6" "1999" 3 132716 "2"
"205" 2 "1" "12" "1999" 2 124982 "1"
"206" 2 "2" "5" "1999" 3 119194 "2"
"207" 3 "1" "1" "1999" 1 132716 "1"
"208" 3 "2" "5" "1999" 4 140553 "2"
"209" 2 "1" "2" "1999" 4 124982 "1"
"210" 3 "1" "12" "1999" 2 132716 "1"
"211" 3 "1" "4" "1999" 5 132716 "2"
"212" 1 "1" "10" "1999" 2 119634 "2"
"213" 3 "2" "3" "1999" 4 140553 "1"
"214" 1 "1" "6" "1999" 0 119634 "2"
"215" 3 "2" "7" "1999" 1 140553 "2"
"216" 1 "1" "12" "1999" 1 119634 "1"
"217" 2 "2" "3" "2000" 4 117229 "1"
"218" 2 "2" "8" "2000" 2 117229 "2"
"219" 1 "2" "9" "2000" 3 114193 "2"
"220" 3 "2" "1" "2000" 2 128266 "1"
"221" 2 "2" "10" "2000" 3 117229 "2"
"222" 1 "1" "4" "2000" 1 119978 "2"
"223" 1 "1" "2" "2000" 2 119978 "1"
"224" 1 "1" "8" "2000" 1 119978 "2"
"225" 1 "1" "1" "2000" 1 119978 "1"
"226" 3 "1" "11" "2000" 3 136242 "1"
"227" 2 "2" "1" "2000" 5 117229 "1"
"228" 1 "2" "4" "2000" 2 114193 "2"
