encuest	th	sexo	edad	carnet	carnetanyos	conducebicicleta	conducemoto	conducevehiculoligero	conducecamion	kmturismo	acturismonum	opinionlimites	conductavelocidad	conductaalcohol	conductamovil	conductacinturon	opinionradares	acturismo	sancion	carnetpuntosperdidos	sancion_velocidad
41	Bizkaia	Hombre	56	1	38	1	0	1	1	400	0	Muy bajos	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
42	Bizkaia	Mujer	64	1	30	0	0	0	0	5	0	Muy altos	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	1	0
43	Gipuzkoa	Hombre	65	1	45	0	0	0	0	50	0	Muy bajos	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	1	0	1
44	Araba	Hombre	63	1	40	1	0	0	0	30	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	1	0	1
45	Gipuzkoa	Mujer	35	1	15	0	0	0	0	70	1	Estan ok	Nunca	Nunca	A veces	Siempre	Estan ok	1	0	0	0
46	Bizkaia	Mujer	32	1	10	0	0	0	0	10	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
47	Araba	Mujer	45	1	19	0	0	0	0	120	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
48	Araba	Hombre	41	1	7	0	0	0	0	50	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	1	0	0
49	Bizkaia	Hombre	66	1	31	0	0	0	0	1000	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	1	1	0	1
50	Bizkaia	Hombre	41	1	19	0	0	0	0	75	0	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
51	Gipuzkoa	Mujer	40	1	17	0	0	0	0	50	0	Estan ok	Nunca	A veces	Nunca	Siempre	Estan ok	0	0	0	0
52	Gipuzkoa	Mujer	68	1	40	0	0	0	0	10	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
53	Gipuzkoa	Hombre	64	1	46	1	0	0	0	15	0	Muy bajos	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
54	Bizkaia	Hombre	74	1	50	0	0	0	0	30	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
55	Araba	Hombre	64	1	45	0	0	0	0	10	2	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	1	1	0	1
56	Bizkaia	Hombre	66	1	48	0	1	0	0	100	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
57	Gipuzkoa	Hombre	85	1	50	0	0	0	0	50	0	Estan ok	Alguna vez	Nunca	A veces	Siempre	Estan ok	0	1	0	1
58	Bizkaia	Mujer	41	1	23	0	0	0	0	70	2	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
59	Araba	Mujer	30	1	5	0	0	0	0	300	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
60	Araba	Hombre	60	1	42	1	0	0	0	10	3	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
61	Bizkaia	Hombre	40	1	21	0	0	0	0	300	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	1	0	0	0
62	Bizkaia	Mujer	61	1	43	0	0	0	0	12	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
63	Araba	Hombre	21	1	1	1	0	0	0	2	0	Estan ok	Nunca	Nunca	A veces	Siempre	Estan ok	0	0	0	0
64	Araba	Hombre	40	1	20	0	0	0	0	100	0	Muy altos	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	0	0	0	0
65	Araba	Hombre	23	1	3	1	0	0	0	50	0	Estan ok	Alguna vez	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	0	0	0	0
66	Bizkaia	Mujer	60	1	42	0	0	0	0	100	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	0	1	0	1
67	Bizkaia	Hombre	49	1	30	0	0	1	0	100	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
68	Bizkaia	Mujer	46	1	8	0	0	0	0	35	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
69	Bizkaia	Hombre	48	1	6	0	0	0	0	50	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que colocar mas	0	0	0	0
70	Araba	Mujer	49	1	5	1	0	0	0	560	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	1	1	1
71	Bizkaia	Hombre	48	1	27	0	0	0	0	150	1	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	1	1
72	Bizkaia	Hombre	65	1	40	1	0	0	0	100	6	Muy altos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
73	Araba	Hombre	40	1	22	1	0	0	0	100	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	0
74	Bizkaia	Mujer	58	1	25	0	0	0	0	100	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
75	Bizkaia	Hombre	68	1	51	0	0	0	0	20	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
76	Araba	Mujer	39	1	12	1	0	0	0	40	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	1	0	0	0
77	Bizkaia	Hombre	46	1	26	1	0	0	0	300	2	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	1	1	0	1
78	Araba	Hombre	44	1	24	0	0	0	0	300	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	1	1	1
79	Gipuzkoa	Hombre	67	1	50	0	0	0	0	140	0	Estan ok	Bastante/Mucho	Nunca	Nunca	Siempre	Estan ok	0	1	0	1
80	Araba	Hombre	72	1	47	0	0	0	0	210	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	1	1	1
81	Gipuzkoa	Hombre	71	1	20	0	0	0	0	25	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
82	Bizkaia	Hombre	39	1	18	0	0	1	0	220	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	0	1	0	1
83	Gipuzkoa	Mujer	85	1	31	0	0	0	0	30	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
